item,model_role,do_stress_test,not_implied
"Reports \((t_i,y_i)\)",Discrete published observations at strictly ordered times.,Public MARACOOS/Maryland DNR DO records in mg/L; missing or nonnumeric values are not imputed.,The published value is not assumed to be error-free unless its index is retained by a candidate explanation.
Latent path \(x(t)\),A continuous real-valued path over the observed horizon.,Represents a candidate continuous DO history.,It is not a fitted ecological process model or a probabilistic prediction.
Lipschitz bound \(L\),Restricts \(\lvert x(t)-x(s)\rvert\le L\lvert t-s\rvert\).,Frozen calibration-slope labels and a seven-value diagnostic grid.,An empirical adjacent slope is not a validated physical bound on every continuous path.
Replacement budget \(k\),Permits at most \(k\) arbitrarily corrupted report values.,\(k_{\min}(L)\) is used only for the 24-h feasibility diagnostic; \(k=0\) is the sampling baseline and fixed \(k=1\) is a paired sensitivity.,Neither \(k\) nor \(k_{\min}\) is a verified error count; fixed \(k=1\) is not a constant contamination rate.
Retained set \(S\),A candidate-specific subset with \(\lvert S\rvert\ge M-k\) and \(x(t_i)=y_i\) for \(i\in S\).,Optimized separately for each endpoint.,Indices outside one endpoint witness are not thereby diagnosed as bad sensor records.
Inlier tolerance \(\epsilon=0\),Retained reports are exact path anchors.,The current endpoint algorithm uses exact inliers.,"Ordinary measurement noise, rounding uncertainty, and a joint tolerance-plus-replacement model are not covered."
Threshold \(H\),Defines strict occupation and hinge deficit.,\(H=5\) mg/L is a policy-relevant demonstration threshold.,"It is not asserted to be the universal ecological or regulatory criterion for every station, season, or designated use."
State floor \(B\),Optionally restricts \(x(t)\ge B\).,\(B=0\) mg/L enforces physical DO nonnegativity.,"It is a path-state constraint, not a deterministic bound on report error."
"\(O_H,D_H\)",Strict-threshold occupation \(1\{x(t)<H\}\) and cumulative deficit \((H-x(t))_+\).,Widths are normalized by \(T\) and \(HT\).,The four extrema need not imply that every value between them is attainable; results are endpoint hulls unless connectedness is proved.
15-min operational reference,A retained high-frequency series used for deterministic checks.,Containment is checked only when the reference is compatible with the frozen \(L\).,"Containment is not statistical coverage, external validation, or proof of the true continuous burden."
